Class,File,SurfaceArea,Volume,Compactness,Rectangularity,Diameter,Convexity,Eccentricity,A3bin0,A3bin1,A3bin2,A3bin3,A3bin4,A3bin5,A3bin6,A3bin7,A3bin8,A3bin9,A3bin10,A3bin11,A3bin12,A3bin13,A3bin14,A3bin15,A3bin16,A3bin17,A3bin18,A3bin19,D1bin0,D1bin1,D1bin2,D1bin3,D1bin4,D1bin5,D1bin6,D1bin7,D1bin8,D1bin9,D1bin10,D1bin11,D1bin12,D1bin13,D1bin14,D1bin15,D1bin16,D1bin17,D1bin18,D1bin19,D1bin20,D1bin21,D1bin22,D1bin23,D1bin24,D1bin25,D1bin26,D1bin27,D1bin28,D1bin29,D2bin0,D2bin1,D2bin2,D2bin3,D2bin4,D2bin5,D2bin6,D2bin7,D2bin8,D2bin9,D2bin10,D2bin11,D2bin12,D2bin13,D2bin14,D2bin15,D2bin16,D2bin17,D2bin18,D2bin19,D3bin0,D3bin1,D3bin2,D3bin3,D3bin4,D3bin5,D3bin6,D3bin7,D3bin8,D3bin9,D3bin10,D3bin11,D3bin12,D3bin13,D3bin14,D3bin15,D3bin16,D3bin17,D3bin18,D3bin19,D4bin0,D4bin1,D4bin2,D4bin3,D4bin4,D4bin5,D4bin6,D4bin7,D4bin8,D4bin9,D4bin10,D4bin11,D4bin12,D4bin13,D4bin14,D4bin15,D4bin16,D4bin17,D4bin18,D4bin19
"./ResampledDatabase/AircraftBuoyant",m1337.obj,0.12223,-0.297277,-0.0230622,-0.548413,-0.25962,-0.572359,-0.0738416,0.0176,0.0495779,0.07608,0.0953389,0.108364,0.113025,0.110971,0.10332,0.0893279,0.0736828,0.0565798,0.0407718,0.0276527,0.0173525,0.010294,0.0057151,0.00274259,0.001129,0.000382519,9.27943e-05,0,0,0,0,0,0,0,0.0222595,0.0255034,0.0266219,0.0295302,0.0346756,0.0355705,0.0357942,0.0370246,0.0364653,0.0400447,0.0411633,0.0425056,0.0431767,0.0449664,0.046868,0.0527964,0.0583893,0.0602908,0.0790828,0.0730425,0.0642058,0.0627517,0.00727069,0.00336335,0.009695,0.0164377,0.0231144,0.029426,0.0369568,0.0436295,0.0501922,0.0562288,0.0634355,0.0708743,0.0768279,0.0827885,0.0896012,0.0939347,0.0986462,0.0992012,0.0427954,0.009756,0.00309532,0.000330998,0.00236442,0.00642302,0.0125006,0.020921,0.0306076,0.0413521,0.0530392,0.0648994,0.0755584,0.0861998,0.0953709,0.103193,0.106266,0.105488,0.0952007,0.0653469,0.0253508,0.00813679,0.00144979,0.239715,0.170944,0.132943,0.105692,0.0859247,0.0680882,0.0540324,0.0419092,0.0323402,0.0236508,0.0170123,0.011391,0.00689449,0.00408768,0.00245217,0.00144354,0.000870895,0.000438159,0.000137738,3.25365e-05,
"./ResampledDatabase/AircraftBuoyant",m1338.obj,0.363036,0.0886327,-0.0230622,-0.306791,-0.130127,-0.41525,-0.073357,0.0227365,0.0572877,0.0814603,0.0934069,0.099042,0.101754,0.100739,0.0964008,0.0885161,0.0759447,0.0593619,0.0429369,0.030381,0.0202787,0.0132477,0.00806613,0.00463926,0.00237221,0.00109796,0.000329903,0,0,0,0,0,0,0,0,0.00901826,0.0176941,0.0208904,0.0273973,0.0311644,0.0328767,0.0355023,0.0358447,0.0365297,0.0408676,0.0420091,0.0453196,0.0513699,0.0533105,0.0574201,0.0608447,0.0652968,0.0743151,0.078653,0.0973744,0.0696347,0.0166667,0.00415148,0.0118874,0.0205244,0.0269061,0.0340829,0.0441301,0.0494067,0.0517189,0.0542452,0.0586747,0.0620281,0.0672707,0.0728574,0.0807083,0.0861339,0.0934277,0.0918276,0.0513119,0.0276502,0.0110563,0.000716663,0.00420717,0.0103241,0.0185652,0.0283613,0.0385307,0.0480679,0.0583693,0.0678386,0.078671,0.0890425,0.0982921,0.105204,0.0991614,0.0927444,0.078042,0.0517513,0.0240654,0.00731305,0.00073213,0.263256,0.176137,0.134989,0.104433,0.0818037,0.0645134,0.0498593,0.0380032,0.0284015,0.0204634,0.0143775,0.00937174,0.00607287,0.00378361,0.00223937,0.00125904,0.000617047,0.000286292,0.000103022,3.03644e-05,
"./ResampledDatabase/AircraftBuoyant",m1339.obj,0.313153,-0.0262036,-0.0230622,-0.50682,-0.691928,-0.197514,-0.0730502,0.0280067,0.0649996,0.0855717,0.100759,0.1082,0.106275,0.0981566,0.0869603,0.0756815,0.0627492,0.0511034,0.0400412,0.029819,0.0217968,0.0151116,0.0102551,0.00688314,0.00439461,0.00249368,0.000742228,0,0,0,0,0,0,0,0,0.00211615,0.012932,0.0224547,0.041265,0.0565483,0.07336,0.0588996,0.0546673,0.0378556,0.0367976,0.0395015,0.03668,0.040442,0.0420879,0.0464378,0.0466729,0.048554,0.0561956,0.0574888,0.0558429,0.0643075,0.0688925,0.00617165,0.0164037,0.0315993,0.0425745,0.0522035,0.0621036,0.0715036,0.0809426,0.0913597,0.102147,0.111699,0.122827,0.0967433,0.0357288,0.0235445,0.0193781,0.0133944,0.00985304,0.00716576,0.00265728,0.000535231,0.00344858,0.0102849,0.019885,0.0323696,0.0459154,0.0590611,0.0738289,0.0868601,0.0974709,0.104639,0.110274,0.11008,0.101012,0.07403,0.0324057,0.0195973,0.0117101,0.00559982,0.000991055,0.308254,0.193688,0.13947,0.102707,0.075439,0.055878,0.0408696,0.0293085,0.0200752,0.0127879,0.00776779,0.00476633,0.00325095,0.00227794,0.0014926,0.000967584,0.000559723,0.000296133,0.000120406,2.38642e-05,
"./ResampledDatabase/AircraftBuoyant",m1340.obj,-0.551363,0.115448,-0.0230623,1.03066,-0.69181,1.43029,-0.0705483,0.048434,0.0758069,0.0863483,0.0823239,0.0854762,0.0890553,0.0880492,0.0837001,0.0772594,0.0658511,0.0538377,0.043756,0.0341404,0.0262441,0.0197313,0.0145977,0.0109681,0.00813642,0.00474908,0.00153492,0,0,0,0,0,0.0837305,0.379441,0.259857,0.0803726,0.0225303,0.0112652,0,0,0,0,0,0,0,0,0,0,0,0.0310875,0.0363951,0.0363951,0.0359619,0.00411612,0,0.00389948,0.014948,0.0161918,0.044897,0.0749454,0.0947136,0.116226,0.142219,0.174024,0.0503586,0.0275231,0.0203803,0.0205743,0.0232896,0.0303194,0.0419527,0.0388834,0.0342178,0.0285362,0.0134285,0.00342938,0.00388944,0.000945386,0.00730638,0.0199737,0.037568,0.0573799,0.0803815,0.101964,0.120631,0.131695,0.124952,0.0780124,0.0515725,0.0392825,0.0353566,0.0329215,0.0292802,0.026243,0.018352,0.00492591,0.00125673,0.382583,0.216837,0.137383,0.08655,0.0526366,0.0335223,0.0238065,0.0177969,0.0136193,0.0103702,0.00765416,0.00600524,0.00426856,0.00302591,0.00201728,0.00104006,0.000517861,0.000223179,0.00011484,2.92516e-05,
"./ResampledDatabase/AircraftBuoyant",m1341.obj,-0.505531,-0.0609821,-0.0230623,0.449804,-0.691928,0.584213,-0.0702922,0.0582057,0.102064,0.102445,0.0867817,0.0793491,0.0778821,0.0738576,0.0695485,0.0640198,0.0562831,0.0480803,0.0400663,0.0333398,0.0278173,0.0231402,0.0190198,0.0156632,0.0122056,0.00771512,0.00251638,0,0,0.00365408,0.0123021,0.00609013,0.00146163,0.046894,0.38782,0.120706,0.136663,0.0869671,0.0233861,0.0116931,0.0102314,0,0,0,0,0,0,0,0,0.016078,0.0248477,0.0190012,0.0263094,0.0175396,0.0255786,0.0109622,0.0118149,0.0127516,0.0405579,0.0721058,0.0846013,0.100231,0.117421,0.134391,0.120015,0.0598623,0.040786,0.0362764,0.0300767,0.024273,0.0206395,0.0218217,0.0255721,0.0268493,0.0193254,0.00989821,0.00254431,0.000628949,0.00584819,0.0170136,0.0330456,0.0516202,0.0729076,0.091576,0.10834,0.11777,0.121246,0.111548,0.0812695,0.0482569,0.0354253,0.0269108,0.0251342,0.0229649,0.018254,0.00877229,0.00146823,0.373429,0.214952,0.137044,0.091437,0.06059,0.0392583,0.0247162,0.0159982,0.0116636,0.00835283,0.00655551,0.0049727,0.00379073,0.00271386,0.00195441,0.0012188,0.000758364,0.000366181,0.000174424,5.41688e-05,
"./ResampledDatabase/AircraftBuoyant",m1342.obj,-0.197354,-0.00470131,-0.0230623,-0.138804,-0.656109,-0.156716,-0.0725468,0.0468944,0.0657523,0.0836143,0.0946053,0.0988873,0.0971623,0.0884087,0.0773496,0.0690342,0.0601434,0.0510041,0.04293,0.0352259,0.0278951,0.0213335,0.0154256,0.0112612,0.00739575,0.00439126,0.00128572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359112,0.239905,0.103412,0.108777,0.118313,0.120697,0.0721204,0.00849352,0.0193712,0.00566235,0.00968559,0.00402325,0.00208613,0.00178811,0.105945,0.0382953,0.00551334,0.0168927,0.025319,0.0289116,0.0358387,0.0482727,0.0525964,0.0598065,0.0696321,0.0821211,0.0868048,0.0972985,0.103201,0.081553,0.050143,0.0420487,0.0335203,0.0290996,0.0258141,0.0268843,0.00424167,0.00310783,0.00900589,0.0185232,0.0303905,0.0412741,0.0501572,0.0580227,0.0659139,0.0727813,0.078104,0.0851012,0.0903909,0.0916097,0.0893897,0.075388,0.0529001,0.0387385,0.0290531,0.0173972,0.00275105,0.329008,0.175754,0.124312,0.0927626,0.0712042,0.0550157,0.0435024,0.0325418,0.0238933,0.0170163,0.0121449,0.00830609,0.00560602,0.00367414,0.00235769,0.00157757,0.000888468,0.000338051,8.55963e-05,1.0835e-05,
"./ResampledDatabase/AircraftBuoyant",m1343.obj,0.130203,1.22414,-0.0230623,0.641848,-0.62889,0.69896,-0.0733797,0.0223201,0.0581772,0.082783,0.0976676,0.10329,0.10264,0.098213,0.089767,0.079324,0.0677191,0.0545419,0.0424473,0.0318146,0.0234903,0.0167682,0.0118101,0.00803148,0.00520345,0.00296103,0.001031,0,0,0,0,0.00323501,0.0074215,0.00780209,0.0129401,0.0163654,0.0171265,0.0182683,0.0194101,0.0142721,0.0157945,0.0298763,0.215414,0.188202,0.110942,0.125785,0.129591,0.000570885,0,0,0.0175071,0.00685062,0.00152236,0.0076118,0.00818268,0.00152236,0.0237869,0.00451698,0.0152813,0.0294794,0.0441356,0.059565,0.0707484,0.0812027,0.0901046,0.0972132,0.103078,0.101397,0.0910168,0.0835042,0.0806586,0.0164896,0.00887493,0.00681749,0.00736661,0.00474403,0.00380483,0.000418708,0.00368278,0.0113918,0.0234755,0.0400145,0.0582582,0.0766659,0.0891632,0.0984201,0.102284,0.10317,0.100888,0.0940918,0.0799135,0.0629176,0.0346517,0.0104564,0.00621875,0.00296499,0.000951891,0.34925,0.206647,0.137957,0.0970229,0.069319,0.0485228,0.033722,0.0227306,0.0149699,0.00910244,0.00517709,0.00263243,0.00123981,0.000735868,0.000455176,0.000244928,0.000141972,7.69464e-05,3.79313e-05,1.40888e-05,
"./ResampledDatabase/AircraftBuoyant",m1344.obj,-0.215254,-0.344268,-0.0230622,-0.485093,-0.660939,-0.546796,-0.0731589,0.046808,0.0545749,0.0758341,0.0879465,0.0941934,0.101048,0.102012,0.0916237,0.0792947,0.0689086,0.0556268,0.0431895,0.0319021,0.0226203,0.0155834,0.0107255,0.0083073,0.00571488,0.00294303,0.00114359,0,0,0,0,0,0,0,0,0,0,0,0.00657371,0.0699203,0.326096,0.364542,0.0268924,0.0157371,0.0173307,0.00478088,0,0,0.00478088,0,0.00796813,0,0.0525896,0.012749,0.0414343,0.012749,0.0358566,0.0121232,0.0307615,0.0270169,0.0297974,0.0369477,0.0472845,0.0564022,0.061002,0.066579,0.072076,0.0796373,0.088645,0.0997129,0.0876848,0.0458102,0.0419065,0.0349173,0.0381439,0.0266778,0.016874,0.00271665,0.00962174,0.0157017,0.0296996,0.0441596,0.0562298,0.060509,0.0604368,0.0678359,0.0766429,0.0858232,0.0901942,0.0905964,0.0824557,0.0622943,0.0435603,0.0438409,0.0429415,0.0275791,0.00716087,0.337913,0.17735,0.119683,0.0886974,0.0671887,0.0518869,0.0394621,0.0290995,0.0214838,0.0170735,0.0136254,0.0108167,0.00855625,0.00653964,0.00461838,0.00306772,0.00169695,0.000858226,0.000318584,6.28499e-05,
"./ResampledDatabase/AircraftBuoyant",m1345.obj,0.0603953,-0.231329,-0.0230622,-0.347821,-0.691928,-0.354313,-0.0729191,0.0393554,0.0678158,0.0873821,0.100339,0.101764,0.0887986,0.0885193,0.0830119,0.0751654,0.0648508,0.0522216,0.0410183,0.0311594,0.0238005,0.0180498,0.0135271,0.00984246,0.00712488,0.00466092,0.00159281,0,0,0,0,0,0,0,0,0,0,0.116836,0.271907,0.282901,0.153594,0.0224811,0.0116508,0.0283886,0,0.00525107,0,0.0173942,0,0,0,0,0,0,0.0229734,0.0210043,0.0456186,0.00830527,0.0238707,0.0292045,0.0412143,0.0537502,0.0628586,0.0776889,0.0897527,0.0999403,0.114793,0.118053,0.0869493,0.039257,0.0281313,0.0227365,0.0221184,0.0188019,0.0190519,0.0240937,0.019429,0.000899187,0.00527963,0.0144025,0.0273314,0.0429073,0.0594835,0.0765464,0.0927812,0.10278,0.111063,0.115097,0.11091,0.0823674,0.0483138,0.0332637,0.0255938,0.022028,0.0169123,0.0103231,0.00171691,0.351645,0.203609,0.138104,0.0965874,0.0669991,0.0460059,0.0302765,0.0201739,0.0139597,0.0101514,0.00710393,0.00515861,0.00372916,0.00261832,0.00170039,0.001113,0.00063724,0.000312118,0.000106207,8.66993e-06,
"./ResampledDatabase/AircraftBuoyant",m1346.obj,-0.492216,-0.201451,-0.0230623,0.249203,-0.589772,0.265644,-0.0688481,0.0498875,0.112341,0.121565,0.101757,0.0804699,0.0664899,0.0585971,0.0534462,0.0492884,0.0458586,0.0420164,0.0387196,0.036387,0.0345989,0.0332718,0.0299327,0.0239724,0.0147369,0.00590983,0.000752778,0,0,0,0,0,0,0,0.177715,0.0878187,0.0895184,0.0508026,0.0328612,0.0451369,0.0262512,0.0256846,0.0321058,0.0385269,0.0271955,0.029084,0.0551464,0.0372049,0.0417375,0.0468366,0.0319169,0.0373938,0.0302172,0.0260623,0.015864,0.0075543,0.00736544,0.0122953,0.0382861,0.0669605,0.0947906,0.121643,0.123707,0.0963879,0.0886035,0.0803309,0.0665964,0.0496252,0.0367898,0.0292584,0.0251437,0.0232753,0.0194596,0.0146897,0.00827254,0.00333962,0.000545101,0.000563161,0.00523244,0.0150651,0.0297258,0.0460946,0.0642271,0.0820801,0.0995856,0.112705,0.117569,0.114722,0.103581,0.0891661,0.0671832,0.0384342,0.0111291,0.00250019,0.000372346,5.56972e-05,8.25144e-06,0.284182,0.190907,0.142455,0.109369,0.0832013,0.0632194,0.0468731,0.0329169,0.0221358,0.0133166,0.00667401,0.00268174,0.00124657,0.000508382,0.000191863,5.96184e-05,3.7939e-05,1.40916e-05,5.41985e-06,3.25191e-06,
