Class,File,Vertices,Faces,FaceType,Minx,Miny,Minz,Maxx,Maxy,Maxz
AircraftBuoyant,m1337.obj,201,340,"Triangles",0.025,0.025,0.025,0.889234,0.975,0.889234
AircraftBuoyant,m1338.obj,8761,16960,"Triangles",0.025,0.025,0.025,0.933058,0.975,0.937901
AircraftBuoyant,m1339.obj,1878,6173,"Triangles",0.025,0.025,0.025,0.607072,0.975,0.626812
AircraftBuoyant,m1340.obj,778,1457,"Triangles",0.025,0.025,0.025,0.367686,0.975,0.367689
AircraftBuoyant,m1341.obj,425,824,"Triangles",0.025,0.025,0.025,0.379575,0.975,0.379575
AircraftBuoyant,m1342.obj,1252,2305,"Triangles",0.025,0.025,0.025,0.611587,0.975,0.60936
AircraftBuoyant,m1343.obj,178,344,"Triangles",0.025,0.025,0.025,0.710921,0.975,0.710921
AircraftBuoyant,m1344.obj,1093,1930,"Triangles",0.025,0.025,0.025,0.674099,0.975,0.6741
AircraftBuoyant,m1345.obj,3174,6000,"Triangles",0.025,0.025,0.025,0.601277,0.975,0.601277
AircraftBuoyant,m1346.obj,742,1375,"Triangles",0.025,0.025,0.025,0.322079,0.354725,0.975
AircraftBuoyant,m1347.obj,3055,6274,"Triangles",0.025,0.025,0.025,0.312086,0.419881,0.975
AircraftBuoyant,m1348.obj,795,1382,"Triangles",0.025,0.025,0.025,0.321693,0.354958,0.975
AircraftBuoyant,m1349.obj,432,640,"Triangles",0.025,0.025,0.025,0.975,0.385203,0.273648
AircraftBuoyant,m1350.obj,1097,1976,"Triangles",0.025,0.025,0.025,0.975,0.291317,0.305022
AircraftBuoyant,m1351.obj,12987,24466,"Triangles",0.025,0.025,0.025,0.2083,0.219243,0.975
AircraftBuoyant,m1352.obj,3298,6348,"Triangles",0.025,0.025,0.025,0.975,0.376642,0.332621
Apartment,D00045.obj,14865,21021,"Triangles",-0.465472,-0.480081,-0.312381,0.495213,0.5,0.27798
Apartment,D00086.obj,20493,42064,"Triangles",-0.920883,-0.343487,-0.415469,0.863162,1.32482,0.293879
Apartment,D00138.obj,10827,21140,"Triangles",-0.782682,-0.514535,-0.317783,0.776339,0.633157,0.198885
Apartment,D00156.obj,12732,19380,"Triangles",-0.81948,-0.742071,-0.667138,0.881168,0.842832,0.566733
Apartment,D00310.obj,14464,9480,"Triangles",-0.744656,-0.389316,-0.368775,1.03298,0.494357,0.339434
Apartment,D00348.obj,2006,3008,"Triangles",-0.94171,-0.40949,-0.813025,0.725458,0.566411,0.205192
Apartment,D00366.obj,1294,2540,"Triangles",-0.895467,-0.856715,-0.663917,0.745644,0.59104,0.529402
Apartment,D00478.obj,19857,25206,"Triangles",-0.780623,-0.760414,-0.478043,0.910492,0.404719,0.451362
Apartment,D00496.obj,7737,2579,"Triangles",-0.643419,-0.704659,-0.341188,1.15353,0.878216,0.259608
Apartment,D00626.obj,73184,64688,"Triangles",-0.885934,-0.597769,-0.512373,0.906987,0.33114,0.382066
Apartment,D00639.obj,4849,7980,"Triangles",-0.542818,-0.544259,-0.687879,1.14108,0.500059,0.449116
Apartment,D00651.obj,12732,19380,"Triangles",-0.948858,-0.950931,-0.556634,0.916559,0.904251,0.661818
Apartment,D00681.obj,13823,15557,"Triangles",-0.681671,-0.790363,-0.471744,1.09453,0.587597,0.656092
Apartment,D00780.obj,8240,13684,"Triangles",-0.977731,-0.618236,-0.189083,0.789199,0.449639,0.33395
Apartment,D00792.obj,1327,1158,"Triangles",-0.795163,-0.965409,-0.669296,1.10354,0.963376,0.859246
Apartment,D00859.obj,1378,2163,"Triangles",-0.824176,-0.692473,-0.33128,1.07379,0.611025,0.211846
Apartment,D00860.obj,19857,25206,"Triangles",-0.764923,-0.760034,-0.474753,0.927037,0.399913,0.451175
Apartment,D00869.obj,4930,9069,"Triangles",-0.984513,-0.521765,-0.380646,0.688383,0.644962,0.551785
Apartment,D00921.obj,12842,7983,"Triangles",-0.850705,-0.487423,-0.558467,0.822601,0.545748,0.554978
Apartment,D00953.obj,4158,7140,"Triangles",-0.949201,-0.826799,-0.444887,0.665321,0.896079,0.51871
Apartment,m463.obj,2022,3672,"Triangles",0.025,0.025,0.025,0.785029,0.975,0.574765
Apartment,m464.obj,8301,12810,"Triangles",0.025,0.025,0.025,0.347449,0.975,0.296305
Apartment,m465.obj,2335,4363,"Triangles",0.025,0.025,0.025,0.21702,0.975,0.251523
